Region code;Region name (sourced);Item code;Item name (sourced);Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
IT17 approx.;Taranto;1554;Total population;total / number;583718;581508;579846;579853;580157;581631;581876;582652;584200;584797;585534;585013;584229;582814;;;
IT10 approx.;Bari;1554;Total population;total / number;1218015;1217510;1218210;1220355;1224714;1230484;1232581;1234097;1236890;1239004;1241622;1246204;1246742;1246297;;;
IT06 approx.;Palermo;1554;Total population;total / number;1242637;1237993;1235945;1234391;1233866;1234031;1233659;1235148;1237329;1238980;1241014;1244239;1242560;1243638;;;
IT13 approx.;Messina;1554;Total population;total / number;660795;661708;661513;658348;657934;656617;654277;652260;652179;652646;651792;651513;649320;648062;;;
IT09 approx.;Catania;1554;Total population;total / number;1055678;1054559;1054501;1054480;1059272;1062261;1066064;1066856;1071168;1074088;1076640;1078665;1078045;1077113;;;
IT16;Brescia;1554;Total population - ESPON;total / number;;518639;;;;;552846;;;;;;;;;;
IT11;Verona;1554;Total population - ESPON;total / number;;559270;;;;;590677;;;;;;;;;;
IT15;Treviso;1554;Total population - ESPON;total / number;;238582;;;;;256124;;;;;;;;;;
IT12;Venezia;1554;Total population - ESPON;total / number;;526889;;;;;539960;;;;;;;;;;
IT14;Padova;1554;Total population - ESPON;total / number;;637579;;;;;670869;;;;;;;;;;
IT17;Taranto;1554;Total population - ESPON;total / number;;468255;;;;;468535;;;;;;;;;;
IT10;Bari;1554;Total population - ESPON;total / number;;733969;;;;;754988;;;;;;;;;;
IT06;Palermo;1554;Total population - ESPON;total / number;;968805;;;;;970808;;;;;;;;;;
IT13;Messina;1554;Total population - ESPON;total / number;;285109;;;;;279941;;;;;;;;;;
IT09;Catania;1554;Total population - ESPON;total / number;;781254;;;;;798182;;;;;;;;;;
;06 Buskerud;;Male  /  0-17 years;total / number;27252;27685;27864;28123;28287;28440;28557;28868;29024;29296;29509;29741;30091;30259;30437;;
;06 Buskerud;;Male  /  18 years or older;total / number;89627;90206;90433;91021;91319;91689;92450;93536;95560;97283;98807;100447;102511;104533;106165;;
;06 Buskerud;;Female  /  0-17 years;total / number;26007;26367;26654;26890;27015;27236;27435;27534;27720;27883;27907;28119;28297;28448;28552;;
;06 Buskerud;;Female  /  18 years or older;total / number;93925;94575;94842;95337;95710;96126;96783;97717;98916;100172;101450;102803;104265;105763;107074;;
NO06 approx.;Buskerud;1554;Total population;total / number;236811;238833;239793;241371;242331;243491;245225;247655;251220;254634;257673;261110;265164;269003;272228;;
NO06;Drammen;1554;Total population - ESPON;total / number;;105843;;;;;109442;;;;;;;;;;
PL01_1;Podregion 28 - m. Warszawa;1554;Total population;total / number;1677316;1672418;1671727;1688194;1689559;1692854;1697596;1702139;1706624;1709781;1714446;1700112;1708491;1715517;1724404;;
PL01_2;Podregion 29 - warszawski wschodni;1554;Total population;total / number;726059;730958;734862;721838;725338;730278;735062;741290;749044;756745;764164;779143;786750;793363;799180;;
PL01_3;Podregion 30 - warszawski zachodni;1554;Total population;total / number;687371;692044;696494;701945;708080;714680;721211;728295;736440;743130;751063;769502;776697;783263;789645;;
PL02_1;Podregion 15 - ùódzki;1554;Total population;total / number;373769;373516;373454;373243;373626;374366;374885;375245;376075;377214;378363;383300;384235;384610;385035;;
PL02_2;Podregion 16 - m. Ùódê;1554;Total population;total / number;805311;798418;791727;785134;779129;774004;767628;760251;753192;747152;742387;730633;725055;718960;711332;;
PL03_1;Powiat krakowski;1554;Total population;total / number;236184;237052;237972;239344;241080;242731;244283;245944;247903;250395;253344;259261;261857;264639;266649;;
PL03_2;Powiat proszowicki;1554;Total population;total / number;43691;43636;43713;43721;43659;43605;43497;43470;43424;43361;43419;43987;43995;43945;43864;;
PL03_3;Powiat wielicki;1554;Total population;total / number;100380;100989;101722;102636;103808;103676;104788;105943;107305;108767;110400;113559;115356;116799;118553;;
PL03_4;Podregion 21 - m. Kraków;1554;Total population;total / number;755355;758715;757942;757547;757685;757430;756629;756267;756583;754624;755000;757740;759137;758334;758992;;
PL04_1;Powiat úredzki;1554;Total population;total / number;48321;48421;48489;48726;48977;49127;49115;49353;49540;49828;50119;51548;51782;52108;52445;;
PL04_2;Powiat trzebnicki;1554;Total population;total / number;75062;75481;75963;76397;76644;77072;77172;77599;78248;78703;79166;81461;82015;82552;83041;;
PL04_3;Powiat wrocùawski;1554;Total population;total / number;94233;94925;95492;96786;98032;99511;100866;103548;106080;108386;111069;118593;121651;124509;127896;;
PL04_4;Podregion 5 - m. Wrocùaw;1554;Total population;total / number;643522;640614;640804;639150;637548;636268;635932;634630;632930;632162;632146;630691;631235;631188;632067;;
PL05_1;Powiat poznañski;1554;Total population;total / number;256850;260518;264855;269380;274720;280924;288012;295039;303595;311390;319258;330245;337883;344752;352395;;
