RegionCode;Region/CityName;CountryName;CountryCode;ProductID;ProductName;Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
AU04;Australia;Adelaide;AU;2667;Commercial Vehicles in Use;number;;;;;;;;107133;111167;117032;122803;127610;130215;132658;;;
AU05;Australia;Perth;AU;2666;Passenger cars in use;number;;;;;;;;1006702;1038673;1082608;1076594;1098541;1124851;1160106;;;
AU05;Australia;Perth;AU;2668;Motorcycles and Mopeds in Use;number;;;;;;;;49247;55603;62590;65762;69489;74972;79672;;;
AU05;Australia;Perth;AU;2667;Commercial Vehicles in Use;number;;;;;;;;216007;230559;247906;250616;259887;271578;285781;;;
AU06;Australia;Darwin;AU;2666;Passenger cars in use;number;;;;;;;;53365;55280;57605;60588;61080;62952;66109;;;
AU06;Australia;Darwin;AU;2668;Motorcycles and Mopeds in Use;number;;;;;;;;2866;3292;3704;4071;4010;4193;4601;;;
AU06;Australia;Darwin;AU;2667;Commercial Vehicles in Use;number;;;;;;;;23725;25319;26990;28719;29664;30660;33158;;;
AU08;Australia;Gold Coast;AU;2666;Passenger cars in use;number;;;;;;;;283410;295980;303806;310538;313267;322726;331175;;;
AU08;Australia;Gold Coast;AU;2668;Motorcycles and Mopeds in Use;number;;;;;;;;13643;15099;16183;16880;17115;18316;19748;;;
AU08;Australia;Gold Coast;AU;2667;Commercial Vehicles in Use;number;;;;;;;;61603;66378;69116;71001;71691;73195;75770;;;
AU09;Australia;Newcastle;AU;2666;Passenger cars in use;number;;;;;;;;182685;186814;188572;192733;196738;200673;205110;;;
AU09;Australia;Newcastle;AU;2668;Motorcycles and Mopeds in Use;number;;;;;;;;8413;9307;10412;11353;11805;12379;13190;;;
AU09;Australia;Newcastle;AU;2667;Commercial Vehicles in Use;number;;;;;;;;33475;34417;34885;36434;37515;38408;40259;;;
AU10;Australia;Hobart;AU;2666;Passenger cars in use;number;;;;;;;;120818;123685;125617;127453;130240;132938;130128;;;
AU10;Australia;Hobart;AU;2668;Motorcycles and Mopeds in Use;number;;;;;;;;3832;4172;4565;4927;5220;5670;6088;;;
AU10;Australia;Hobart;AU;2667;Commercial Vehicles in Use;number;;;;;;;;33501;34796;35770;37228;38256;39724;39189;;;
AT01;Austria;Vienna;AT;2666;Passenger cars in use;number;;;;;;;;;;1340373;1361427;1379261;1395394;1407571;1419269;;
AT01;Austria;Vienna;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;;124603;126696;129347;131491;133714;135644;;
AT01;Austria;Vienna;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;;173828;177268;180836;184958;187611;190194;;
AT02 approx.;Austria;Graz;AT;2666;Passenger cars in use;number;;;;;;;;;;202471;206679;210361;213864;217153;220032;;
AT02 approx.;Austria;Graz;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;;16868;17179;17565;17847;18249;18677;;
AT02 approx.;Austria;Graz;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;;33639;34888;36026;37457;38200;39113;;
AT03_1;Austria;Linz;AT;2666;Passenger cars in use;number;;;;;;;;;;265752;270244;275407;280722;284845;288442;;
AT03_1;Austria;Linz;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;;27086;27295;27970;28519;28690;29444;;
AT03_1;Austria;Linz;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;;31179;31933;32594;33551;34037;34752;;
AT04;Austria;Salzburg;AT;2666;Passenger cars in use;number;;;;;;;;;;179227;183632;186288;189882;192571;195117;;
AT04;Austria;Salzburg;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;;16206;16569;16992;17518;17918;18416;;
AT04;Austria;Salzburg;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;;27549;28080;29002;29845;30415;31285;;
AT05;Austria;Innsbruck;AT;2666;Passenger cars in use;number;;;;;;;;;;133010;135920;138483;141079;143358;145655;;
AT05;Austria;Innsbruck;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;;12454;12659;13027;13432;13693;14052;;
AT05;Austria;Innsbruck;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;;23445;24278;25095;25779;26374;26678;;
AT06;Austria;Klagenfurt;AT;2666;Passenger cars in use;number;;;;;;;;;;158416;161539;164448;167466;169730;171639;;
AT06;Austria;Klagenfurt;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;;11684;11937;12317;12675;12820;13165;;
AT06;Austria;Klagenfurt;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;;25485;26326;27171;28211;28806;29401;;
AT;Austria;Total;AT;2666;Passenger cars in use;number;;;;;;;;;4284919;4359944;4441027;4513421;4584202;4641308;4694921;;
AT;Austria;Total;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;381338;387972;396788;407452;416535;424752;434915;;
AT;Austria;Total;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;662511;681922;696714;712635;730428;742024;754739;;
R026;Austria;Burgenland;AT;2666;Passenger cars in use;number;;;;;;;;;166280;169488;172902;176109;179035;181785;184322;;
R026;Austria;Burgenland;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;15672;16047;16542;17057;17500;17905;18434;;
R026;Austria;Burgenland;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;24189;24935;25541;26211;26976;27718;28306;;
R027;Austria;Karnten;AT;2666;Passenger cars in use;number;;;;;;;;;312392;318363;324210;329672;334750;338445;341909;;
R027;Austria;Karnten;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;24296;24782;25316;26093;26717;27135;27948;;
R027;Austria;Karnten;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;49847;51845;53543;54939;56605;57376;58293;;
R028;Austria;Niederosterreich;AT;2666;Passenger cars in use;number;;;;;;;;;931298;950011;969902;986086;1000651;1013181;1025527;;
R028;Austria;Niederosterreich;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;83392;85227;87651;89890;91765;93594;95847;;
R028;Austria;Niederosterreich;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;145702;148734;150646;152995;155454;157132;158994;;
R029;Austria;Oberosterreich;AT;2666;Passenger cars in use;number;;;;;;;;;785460;800766;816173;831941;848069;861292;873537;;
